Cleaned_Dialogue,Happiness,Contentment,Confidence,Neutral,Sadness,Anger,Fear,Surprise,Disgust,Love,Excitement,Anticipation,Nostalgia,Confusion,Frustration,Longing,Optimism
come know youre eighteen anymore give minute,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
emma,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
oh god emma oh sweetie forgot oh youre right cant cant leave alone,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
sorry,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
unless maybe mean much even aware age,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
well shes aware leave room may notice start canoodling,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
canoodling,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
well cant say hump screw front baby,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
dont know mean guess sex front baby isnt,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
horrifying scarring something people go jail,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
guess youre right,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
guess im right stayed bed breakfast wouldnt sex thought deer staring window,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
kind sick bastard wants front deer,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
wow everything looks good think im gonna chicken,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
oh well thats thats sweet thank,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
im kind funny looking,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
oh come youre way league everybody knows bet guy theres probably saying ooh,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
im funny either thinking well,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
well come steve lets rule nervous laughter hey wait minute phoebe told owned restaurant thats impressive,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
lost drugs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
silkscreen tshirts,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
really whats like,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
really fulfilling something hate money thats right money im funny live studio apartment two guys im pretty sure im infertile,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
like hair,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hello,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
phoebe im going hunt kill,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
hey rach,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
worst date ever could set creep,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
know talking one dear dear friends,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dont care guy nightmare,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
oh right gets little crazy hes stoned,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hes stoned,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
go cigarette,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
yeah four times,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dear sweet rach,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
oh great pretty soon theyll back together,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
shes asleep chandler,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
emma,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
shes asleep,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ooh shes asleep means,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
yes fast,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
emma hey hi,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ya ya babysitters huh whys bedroom door closed,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
cant sex youre taking care babie,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ive got bad news chinese guy left,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
eh meant meant,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
look got stood cares gonna show good time sit relax fact let bring crab cake appetizer house,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
wow free crab cakes well thats nice although hoping sex tonight,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
ooh,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
crab cakes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
trying get stay cant,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
get okay,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
whats whats going,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
eh okay waiters little pool going bet long itll take give go home,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
youre making money misery,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
well stay till 920,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
unbelievable never insulted life youll wrap free crab cakes ill way,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
well weird loud fast,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
think may really done time,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
oh wish didnt wait take pregnancy test,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
may wanna get,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
wheres emma,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
oh god wheres emma wheres emma,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
dont ask canoodling,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
okay okay im sure rachel came home early picked emma go look across hall ill call cell,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
hey better hope pregnant one way another giving baby back rachel,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
admire man cry,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dont touch coat,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
oh sorry phone hello,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
oh god worst date ever,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
hey stop,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
oh god,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
oh thank god emma,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
mean,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
oh playing peekaboo – loves im dramatic,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
two sex,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
werent,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
right right trying make baby monicas ovulating,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
hey unacceptable two would sex emma next room im gonna tell rachel,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
please dont please joey kill us,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
hey gotta unless,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
unless,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
unless name firstborn child joey,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
hey may never kids somebodys gotta carry family name,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
family name tribbiani,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
well uh,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
look think know answer question would like make love,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
really really,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
eh well doesnt work anyway,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
right well thats good know good night steve,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hey whats wrong,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rough night,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
oh crab cake,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
eww,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
well happened,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
oh well iits kind weird talking,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
monica told blind date,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
oh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
technically date person doesnt show,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
oh oh think walked saw left,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
everyone keep saying,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
well makes feel better wish date hadnt shown,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
bad,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
well makes tshirts living thought would appropriate give,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
female body inspector size,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
wait minute theyre gonna name first child joey,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
uhhuh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
get name next one,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
easy walk sex,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
oh owe like three phoebes,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
oh god look ross rachel oh plan working,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
dont dont planlaugh,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
first date weve months disasters,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
wait minute dont think intentional mean thats stupid,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
geniuses yeah look look theyre really bonding,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
oh yeah theyre falling love,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
oh see us oh look mad oh figured theyre coming way run,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
mexico,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
believe theyre still,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
know double blind date get stood chances,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
know im bummed free crab cakes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
guys give rest nobodys betting tonight although pool going see long takes guy cry,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
fat hands,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
terry know havent worked long waswondering think would possible got 100 advance salary,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
advance,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
spend thanksgiving family see every year wego skiing vail normally father pays ticket sort started thewhole independence thing know actually took job,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
rachel rachel sweetheart youre terrible terrible waitress reallyreally awful,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
excuse sir hi come time wondering doyou think theres possibility could give advance tips,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
huh,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
hey ross know mom dad going puerto rico forthanksgiving,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
theyre,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
yes blymens invited,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
youre wrong,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
wrong,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
talked,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hey hey,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
hey,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
cryforhelp department wearing makeup,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
yes today officially joey tribbiani actor slash model,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
thats funny cause thinking look like joeytribbiani man slash woman,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
modeling,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
know posters city free clinic,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
oh wow youre gonna one healthy,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
know asthma guy really cute,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
know one youre gonna,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
good luck man hope get,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
thanks,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ok ill tell cook dinner place ill makeit like moms,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
make mashed potatoes lumps,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
yeah,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
assume chandler still boycotting pilgrimholidays,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
yes every single one,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
phoebe youre gonna grandma,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
yes boyfriend celebrating thanksgiving decembercause lunar,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
youre free thursday,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
yeah oh come,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
yeah rach thinking youre gonna make vail,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
absolutely shoop shoop shoop hundred two dollars go,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
thought 9850,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
yeah well broke cup,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
well im carols,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ooh ooh dont invite,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
hi uh carol,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
shes faculty meeting,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
oh uh came pick skull well mine,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
thanks yeah carol borrowed class get back tothe museum,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
whats look like,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
kinda like big face without skin,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
yes im familiar concept look,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
well know take course otherwise dont let youdo,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
actually im reading baby,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
uh baby hasnt born yet wouldnt mean yourecrazy,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
dont think hear sounds,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
youre serious mean really really talk,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
yeah time want baby know voice,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
uh talk,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
yeah yeah time,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
really,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
look shes talking think get bellytime believe,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
oh believe think baby totally hear everything canshow look seem little weird put head inside turkeyand well talk youll hear everything say,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
id like say im totally behind experiment factid much like butter head,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
hey rach make money,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
even close forget vail forget seeing family forget shoopshoop shoop,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
rach heres mail,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
thanks put table,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
oh god oh guys great,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
chipped,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thank thank much,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
wait wait chandler youre havin thanksgivingdinner holiday,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
right im nine years old,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oh hate story,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
finished magnificent thanksgiving dinner haveand iremember part vividlya mouthful pumpkin pie moment parentschoose tell theyre getting divorced,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
oh god,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
yes difficult appreciate thanksgiving dinner onceyouve seen reverse,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
uh hi uh used work together,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
yeah right,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gotta tell youre best business,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
get,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
im serious youre amazing know spritz lay back,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
really dont know means,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ooh smell great tonight whatre wearing,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
listen uh wanna go get drink something,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
whats wrong,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
remembered something,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
oh,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
um leave,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
wait wait wait,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
guess saw,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
saw,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
laughing know laughter infectious,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
set another place thanksgiving entire family thinks vd,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
tonight special blossom,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
dont know without mom kitchen,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
right thats know get way stopmoping,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
thats closer,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
got tickets got tickets five hours shoop shoopshoop,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
oh must stop shooping,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
ok im gonna get stuff,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
chandler come already,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
prefer keep safe distance merriment,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
look incoming pumpkin pie,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
ok laughed stuffing thats notfunny anymore,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
hey monica got question dont see tater tots,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
thats question,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
mom always makes like tradition get littlepiece turkey fork little cranberry sauce tot bad enough cantbe family disease,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
right fine tonights potatoes mashed lumps andin form tots,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ok im talk unborn child,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
ah,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
ok mom never hit,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phoebe whip potatoes ross needs lumps,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
oh im sorry oh thought could whipped thenadd peas onions,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
would,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
well cause theyd like mom used make knowbefore died,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
ok three kinds potatoes coming,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
unbelievable thing happened underdog gottenaway,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
balloon,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
actual cartoon character course balloon allover news right reached,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
cant gotta go,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
come 80foot inflatable dog let loose city oftendoes happen,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
almost never,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
got keys,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ok,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
anytime youre ready,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
aim bump,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ok ok ok ok goes know know cant uh thisis weird feel stupid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
dont fine dont susandoes,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
loved moment first saw giant dog shadow thepark,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
yeah shoot mean mean,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
ok right turkey crispy outside juicy onthe inside standing,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
waiting open door got keys,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
dont,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
yes left said got keys,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
didnt asked got keeys,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
said got keys,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
either,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
oh gotta get ticket,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
wait wait copy key,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
well get get,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
tone make go faster,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
one,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
everyones telling gotta pick major gotta pick majorso dare picked paleontology idea im saying letsface youre fetus youre happy dont gills anymore,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
look dont talk sing want,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
oh please singing stomach ok,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
hi hows goin,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
always uh,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
first,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
keep singing keep singing,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
felt,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
nope one,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
go faster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hey got one keyhole zillion keys math,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
guys many keys anyway,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
swear said keys,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
didnt wouldnt say keys unless keys iobviously didnt keys,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ooh ok thats enough keys one say keys,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
would keys,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
aside fact said,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
didnt,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
well,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
ok monica dogs hear look doors openhere go,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
come walkin the—this doesnt smell like moms,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
oh god great plane gone looks like im stuckhere guys,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
hey better plans nobodys first choice,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
oh really busting ass make deliciousthanksgiving dinner,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
call delicious,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
stop stop stop,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
feels like thanksgiving,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ooh,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
ugly naked guys taking turkey oven oh god hes notalone ugly naked guys thanksgiving dinner ugly naked gal,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
ive gotta see right ugly naked guy,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
ooh ugly naked dancing,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
nice someone,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
shall carve,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
means,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ok wants light cheese wants dark cheese,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
dont even wanna know dark cheese,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
oh,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ooh guys make wish,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
make wish,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
come know thanksgiving ooh got bigger half whatdyou wish,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
bigger half,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
id like propose toast little toast ding ding know thisisnt kind thanksgiving planned beenreally great know think didnt involve divorce projectile vomitinganyway thinking mean youd gone vail guysd withyour family didnt syphilis stuff wouldnt together knowso guess im trying say im thankful thanksgivingssucked,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
thats sweet,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
hey heres lousy christmas,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
